gid,d_name,area,
다사431446,고척1동,10000,고척1동
다사453452,신도림동,10000,신도림동
다사440451,고척1동,10000,고척1동
다사418430,오류2동,10000,오류2동
다사458449,구로5동,10000,구로5동
다사407450,수궁동,10000,수궁동
다사459435,구로4동,10000,구로4동
다사423453,고척2동,10000,고척2동
다사404426,항동,10000,항동
다사415428,오류2동,10000,오류2동
다사416429,오류2동,10000,오류2동
다사423450,개봉1동,299.553,개봉1동
다사423450,개봉1동,9700.447,개봉1동
다사431439,개봉2동,10000,개봉2동
다사451458,신도림동,10000,신도림동
다사414435,오류2동,10000,오류2동
다사437443,고척1동,9531.985,고척1동
다사437443,고척1동,468.015,고척1동
다사438445,고척1동,10000,고척1동
다사465425,구로3동,10000,구로3동
다사395442,수궁동,10000,수궁동
다사413431,오류2동,10000,오류2동
다사415440,오류1동,10000,오류1동
다사425440,개봉2동,10000,개봉2동
다사436455,고척2동,3474.996,고척2동
다사426442,개봉2동,7007.241,개봉2동
다사426442,개봉2동,2992.759,개봉2동
다사408432,오류2동,10000,오류2동
다사419449,개봉1동,10000,개봉1동
다사404444,수궁동,10000,수궁동
다사410434,오류2동,10000,오류2동
다사425429,개봉3동,10000,개봉3동
다사414432,오류2동,10000,오류2동
다사430448,개봉1동,3742.341,개봉1동
다사430448,개봉1동,6257.659,개봉1동
다사461424,가리봉동,9953.565,가리봉동
다사418437,오류2동,10000,오류2동
다사434435,개봉2동,6342.587,개봉2동
다사434435,개봉2동,3055.809,개봉2동
다사416444,오류1동,10000,오류1동
다사426447,개봉1동,815.084,개봉1동
다사426447,개봉1동,9184.916,개봉1동
다사409441,수궁동,10000,수궁동
다사430431,개봉3동,8511.065,개봉3동
다사435446,고척1동,10000,고척1동
다사453440,구로2동,10000,구로2동
다사459437,구로2동,4409.968,구로2동
다사459437,구로2동,5590.032,구로2동
다사461446,구로5동,10000,구로5동
다사469428,구로3동,10000,구로3동
다사419451,개봉1동,10000,개봉1동
다사458448,구로5동,10000,구로5동
다사427431,개봉3동,10000,개봉3동
다사441448,고척1동,10000,고척1동
다사457446,구로5동,10000,구로5동
다사399444,수궁동,10000,수궁동
다사406453,수궁동,10000,수궁동
다사459424,가리봉동,3075.808,가리봉동
다사463438,구로4동,10000,구로4동
다사419447,개봉1동,123.934,개봉1동
다사419447,개봉1동,9876.066,개봉1동
다사449442,구로1동,10000,구로1동
다사453458,신도림동,10000,신도림동
다사457438,구로2동,10000,구로2동
다사459459,신도림동,10000,신도림동
다사448439,구로1동,10000,구로1동
다사446450,구로2동,10000,구로2동
다사454437,구로2동,10000,구로2동
다사461427,가리봉동,1701.22,가리봉동
다사461427,가리봉동,8298.78,가리봉동
다사460438,구로4동,7064.612,구로4동
다사460438,구로4동,2935.388,구로4동
다사433439,개봉2동,10000,개봉2동
다사433450,고척1동,10000,고척1동
다사439453,고척1동,2992.122,고척1동
다사452437,구로2동,10000,구로2동
다사421447,개봉1동,10000,개봉1동
다사417443,오류1동,10000,오류1동
다사417446,오류1동,10000,오류1동
다사456460,신도림동,10000,신도림동
다사463440,구로4동,10000,구로4동
다사468431,구로3동,9513.171,구로3동
다사458437,구로2동,10.245,구로2동
다사458437,구로2동,9989.755,구로2동
다사396418,항동,9351.544,항동
다사416446,오류1동,9882.585,오류1동
다사416446,오류1동,117.415,오류1동
다사435451,고척1동,8372.593,고척1동
다사435451,고척1동,1627.407,고척1동
다사416431,오류2동,10000,오류2동
다사448431,구로1동,7410.59,구로1동
다사410442,수궁동,10000,수궁동
다사460435,구로4동,10000,구로4동
다사415430,오류2동,10000,오류2동
다사423451,개봉1동,3565.708,개봉1동
다사423451,개봉1동,6434.292,개봉1동
다사429450,고척2동,9910.085,고척2동
다사429450,고척2동,89.915,고척2동
다사412440,수궁동,10000,수궁동
다사422453,개봉1동,4194.481,개봉1동
다사422453,개봉1동,5805.519,개봉1동
다사402449,수궁동,10000,수궁동
다사452453,신도림동,10000,신도림동
다사457437,구로2동,10000,구로2동
다사429436,개봉2동,9719.441,개봉2동
다사429436,개봉2동,280.559,개봉2동
다사433440,개봉2동,8488.801,개봉2동
다사433440,개봉2동,1511.199,개봉2동
다사464433,구로3동,10000,구로3동
다사466426,구로3동,10000,구로3동
다사409436,오류2동,10000,오류2동
다사418434,오류2동,10000,오류2동
다사452445,구로2동,10000,구로2동
다사453443,구로2동,10000,구로2동
다사462438,구로4동,10000,구로4동
다사431435,개봉3동,10000,개봉3동
다사455445,구로2동,10000,구로2동
다사465435,구로3동,10000,구로3동
다사455461,신도림동,10000,신도림동
다사424443,오류1동,9775.887,오류1동
다사424443,오류1동,224.113,오류1동
다사418423,오류2동,10000,오류2동
다사425427,개봉3동,9994.014,개봉3동
다사400444,수궁동,10000,수궁동
다사420451,개봉1동,10000,개봉1동
다사423452,고척2동,8223.304,고척2동
다사423452,고척2동,1776.696,고척2동
다사433452,고척2동,10000,고척2동
다사470428,구로3동,9849.952,구로3동
다사407442,수궁동,10000,수궁동
다사452452,신도림동,7967.134,신도림동
다사452452,신도림동,2032.866,신도림동
다사426428,개봉3동,10000,개봉3동
다사424431,개봉3동,10000,개봉3동
다사458435,구로4동,9565.814,구로4동
다사458435,구로4동,434.186,구로4동
다사397438,수궁동,9517.11,수궁동
다사421439,오류2동,10000,오류2동
다사426443,개봉1동,10000,개봉1동
다사414434,오류2동,10000,오류2동
다사428431,개봉3동,10000,개봉3동
다사436448,고척1동,10000,고척1동
다사431436,개봉2동,8211.126,개봉2동
다사431436,개봉2동,1788.874,개봉2동
다사430442,개봉1동,10000,개봉1동
다사443452,고척1동,10000,고척1동
