gid,lbl,val_200,d_name,cctv_20,g2_env,g3_flow,w1_female,w2_dandock,index_k,index_rank
다사436437,816,816,개봉2동,9.239,0,1.5,1.095,1,11.759,357
다사459436,386,386,구로4동,7.819,1.88,3,1,1.041,13.22,137
다사409434,331,331,오류2동,4.435,0,3,1,1,7.435,772
다사454446,161,161,구로2동,10,0,3,1.095,1.041,14.819,43
다사461437,298,298,구로4동,0.55,0,2,1,1.041,2.655,1187
다사422448,332,332,개봉1동,10,0.435,3.5,1.095,1.041,15.884,8
다사420426,N/A,0,오류2동,0,0,2,1,1,2,1227
다사432444,749,749,고척1동,10,0,3,1,1,13,202
다사449455,396,396,신도림동,9.444,0,3.5,1.095,1,14.174,76
다사420446,296,296,오류1동,4.21,0,2.5,1,1.041,6.985,817
다사458432,503,503,구로4동,0.16,0.19,3.5,1,1,3.85,1094
다사440450,310,310,고척1동,7.69,0,2.5,1,1.041,10.608,473
다사453462,76,76,신도림동,2.641,0,2,1.095,1,5.082,974
다사437450,297,297,고척1동,2.981,0.65,2.5,1.095,1,6.713,849
다사408438,193,193,오류2동,10,0,2.5,1,1,12.5,255
다사455458,822,822,신도림동,9.976,0,4,1.095,1,15.304,29
다사416432,54,54,오류2동,10,0,4,1,1,14,79
다사428448,314,314,고척2동,0.118,0,2,1,1.041,2.205,1218
다사457433,742,742,구로4동,0,0.2,3.5,1,1,3.7,1106
다사458444,312,312,구로5동,4.312,0.5,2.5,1,1.041,7.612,748
다사449439,716,716,구로1동,10,0,4,1.095,1,15.33,17
다사409447,233,233,수궁동,7.55,0,1.5,1.095,1,9.91,543
다사457435,140,140,구로4동,3.582,0.115,2.5,1,1,6.197,888
다사421427,236,236,오류2동,5.84,0,3,1.095,1,9.68,562
다사457436,446,446,구로2동,8.426,0,3,1,1.041,11.894,348
다사461441,201,201,구로4동,6.33,0,4,1.095,1,11.311,410
다사407449,N/A,0,수궁동,0,0,1,1,1.041,1.041,1290
다사423449,365,365,개봉1동,9.18,0.355,3,1,1.041,13.049,198
다사456456,805,805,신도림동,10,0,2.5,1.095,1,13.688,94
다사399426,517,517,항동,10,0,2,1.095,1,13.14,140
다사432447,N/A,0,고척1동,0,0,1.5,1,1.041,1.562,1261
다사431433,235,235,개봉3동,1.514,0.37,3.5,1,1.041,5.605,936
다사398444,125,125,수궁동,10,0,3,1,1,13,202
다사435441,758,758,개봉1동,10,0,2.5,1,1,12.5,255
다사453431,306,306,가리봉동,0,0,2,1,1.041,2.082,1222
다사419443,83,83,오류1동,1.024,0.65,3,1,1.041,4.866,998
다사399442,396,396,수궁동,10,0,3,1,1,13,202
다사458433,704,704,구로4동,0.294,0.415,3,1,1,3.709,1105
다사460453,555,555,구로5동,10,0,3.5,1,1,13.5,118
다사407435,36,36,오류2동,8.238,0,1,1,1,9.238,605
다사408444,462,462,수궁동,5.654,0,2.5,1,1,8.154,694
다사416436,565,565,오류2동,8.851,0.185,3,1,1,12.036,304
다사424447,803,803,개봉1동,4.133,0.715,3,1.095,1.041,8.946,629
다사405448,N/A,0,수궁동,0,0,1,1,1.041,1.041,1290
다사450448,40,40,구로2동,6.539,0,2,1,1.041,8.889,634
다사462443,990,990,구로5동,10,0.335,4,1.095,1,15.697,14
다사416440,399,399,오류1동,0.836,0.415,3,1.095,1,4.655,1017
다사449454,294,294,신도림동,3.487,0,4,1.095,1,8.198,689
다사449445,74,74,구로1동,4.525,0.715,2,1.095,1,7.928,714
다사402423,351,351,항동,10,0,2,1.095,1,13.14,140
다사427442,615,615,개봉2동,10,0,3,1.095,1,14.235,62
다사431446,91,91,고척1동,6.985,0,1.5,1,1.041,8.833,642
다사453452,714,714,신도림동,10,0,4,1.095,1,15.33,17
다사440451,157,157,고척1동,9.739,0,3,1.095,1,13.949,84
다사418430,139,139,오류2동,2.641,0,1.5,1.095,1,4.534,1027
다사458449,317,317,구로5동,0.399,0.5,3,1,1.041,4.059,1071
다사407450,14,14,수궁동,10,0,1,1,1.041,11.451,386
다사459435,347,347,구로4동,8.458,0,3,1,1.041,11.928,343
다사423453,350,350,고척2동,0.396,0,2.5,1,1.041,3.015,1159
다사404426,362,362,항동,10,0,2,1.095,1,13.14,140
다사415428,483,483,오류2동,9.276,0,3,1.095,1,13.442,129
다사416429,203,203,오류2동,5.664,0,2,1.095,1,8.392,676
다사423450,545,545,개봉1동,2.992,0,3,1,1.041,6.238,886
다사431439,869,869,개봉2동,4.766,0,3.5,1.095,1,9.051,620
다사451458,255,255,신도림동,8.752,0.835,2.5,1,1.041,12.583,248
다사414435,95,95,오류2동,3.795,0,1.5,1,1.041,5.512,945
다사437443,257,257,고척1동,9.637,0,2.5,1,1,12.137,288
다사438445,9,9,고척1동,4.347,0,3,1,1,7.347,778
다사465425,N/A,0,구로3동,0,0,3,1,1,3,1161
다사395442,232,232,수궁동,6.882,0,1,1,1,7.882,724
다사413431,234,234,오류2동,9.989,0,2.5,1,1,12.489,268
다사415440,134,134,오류1동,10,0,3,1,1.041,13.533,115
다사425440,460,460,개봉2동,5.517,0,3,1,1.041,8.866,639
다사436455,N/A,0,고척2동,0,0,1,1,1,1,1330
다사426442,N/A,0,개봉2동,0,0,2,1,1,2,1227
다사408432,280,280,오류2동,5.181,0,2,1.095,1,7.863,725
다사419449,334,334,개봉1동,3.241,0,2,1,1.041,5.456,950
다사404444,16,16,수궁동,9.857,0,1,1,1,10.857,452
다사410434,352,352,오류2동,6.378,0,3,1.095,1,10.269,507
다사425429,N/A,0,개봉3동,0,0,2,1,1,2,1227
다사414432,318,318,오류2동,9.491,0,3,1.095,1,13.678,104
다사430448,216,216,개봉1동,2.25,0,2,1,1.041,4.424,1035
다사461424,288,288,가리봉동,4.235,1.565,3,1.095,1.041,10.031,528
다사418437,384,384,오류2동,1.835,0.18,3,1,1.041,5.221,965
다사434435,524,524,개봉2동,10,0,1.5,1,1,11.5,374
다사416444,204,204,오류1동,3.333,0,3,1,1.041,6.593,857
다사426447,352,352,개봉1동,1.73,0,1.5,1,1.041,3.362,1131
다사409441,429,429,수궁동,1.766,0,2,1,1.041,3.92,1088
다사430431,92,92,개봉3동,6.013,0,1,1,1.041,7.301,782
다사435446,N/A,0,고척1동,0,0,1.5,1,1,1.5,1267
다사453440,310,310,구로2동,0.769,0,3,1,1.041,3.924,1087
다사459437,167,167,구로2동,4.43,0.335,2,1,1.041,7.042,808
다사461446,955,955,구로5동,10,0.28,3,1.095,1,14.542,54
다사469428,15,15,구로3동,5.079,1.315,3,1,1,9.394,588
다사419451,580,580,개봉1동,5.052,0,2.5,1,1.041,7.862,726
다사458448,215,215,구로5동,1.97,0.59,3,1,1.041,5.788,920
다사427431,965,965,개봉3동,7.035,0,3,1,1,10.035,526
다사441448,275,275,고척1동,2.067,0,2,1,1.041,4.234,1055
다사457446,273,273,구로5동,3.815,0,2,1,1.041,6.053,905
다사399444,692,692,수궁동,10,0.835,3,1.095,1,15.149,31
다사406453,N/A,0,수궁동,0,0,1,1,1.041,1.041,1290
다사459424,N/A,0,가리봉동,0,0,1,1,1,1,1330
다사463438,237,237,구로4동,0.528,0.28,3,1,1.041,3.964,1084
다사419447,906,906,개봉1동,7.64,0,2.5,1,1,10.14,519
다사449442,6,6,구로1동,3.755,0,2.5,1,1,6.255,885
다사453458,7,7,신도림동,7.687,0,2.5,1,1,10.187,513
다사457438,407,407,구로2동,2.224,0,2.5,1,1.041,4.918,995
다사459459,492,492,신도림동,10,0,1.5,1.095,1,12.593,243
다사448439,817,817,구로1동,7.97,0,3,1.095,1,12.012,305
다사446450,N/A,0,구로2동,0,0,1.5,1,1,1.5,1267
다사454437,477,477,구로2동,6.669,0,2,1,1.041,9.024,624
다사461427,234,234,가리봉동,0.571,0,2,1,1.041,2.676,1184
다사460438,271,271,구로4동,1.605,0.265,2,1,1.041,4.029,1076
다사433439,283,283,개봉2동,7.835,0.18,3,1,1,11.015,428
다사433450,167,167,고척1동,3.365,0,2.5,1,1.041,6.105,895
다사439453,132,132,고척1동,5.201,0,1.5,1,1.041,6.976,819
다사452437,338,338,구로2동,1.748,0,2,1,1.041,3.902,1092
다사421447,395,395,개봉1동,2.821,0,3,1,1.041,6.06,902
다사417443,470,470,오류1동,1.811,0,3,1.095,1.041,5.484,947
다사417446,514,514,오류1동,7.121,0,2,1,1.041,9.495,579
다사456460,748,748,신도림동,4.963,0,2,1.095,1,7.624,747
다사463440,85,85,구로4동,7.079,0,3,1,1.041,10.492,490
다사468431,399,399,구로3동,9.369,0.335,2.5,1.095,1,13.363,132
다사458437,400,400,구로2동,5.308,0.5,2.5,1,1.041,8.649,658
다사396418,297,297,항동,10,0,1.5,1,1,11.5,374
다사416446,977,977,오류1동,10,0,3,1.095,1,14.235,62
다사435451,32,32,고척1동,5.168,2.39,3,1,1.041,10.991,441
다사416431,587,587,오류2동,10,0,3,1,1,13,202
다사448431,216,216,구로1동,7.659,0,2,1,1,9.659,565
다사410442,164,164,수궁동,4.522,0,1.5,1,1,6.022,908
다사460435,1188,1188,구로4동,4.924,0,3,1.095,1.041,9.033,621
다사415430,414,414,오류2동,4.967,0,2.5,1.095,1,8.176,693
다사423451,523,523,개봉1동,4.452,1.155,2,1,1.041,7.919,716
다사429450,601,601,고척2동,3.803,0,2.5,1,1.041,6.561,860
다사412440,37,37,수궁동,7.622,0,2,1,1.041,10.017,530
다사422453,531,531,개봉1동,6.29,0,3,1.095,1.041,10.59,477
다사402449,N/A,0,수궁동,0,0,1,1,1,1,1330
