"d_code","j_code","month","flow1_tot","flow2_tot"
11530560,1117056030002,202011,4548.4194,5137.91
11530560,1117056030003,202011,1726.1978,3083.9729
11530560,1117056030004,202011,1528.4453,2621.2291
11530560,1117056030005,202011,7013.7618,7516.4616
11530560,1117056030006,202011,5038.2835,4919.3684
11530560,1117056030007,202011,1624.2491,2313.8142
11530560,1117056030008,202011,123.062,0
11530560,1117056030009,202011,11805.5593,1154.7084
11530560,1117056030101,202011,1584.2821,2949.4401
11530560,1117056030102,202011,785.3241,1249.7224
11530560,1117056030201,202011,2270.7567,4725.1135
11530560,1117056030301,202011,1481.6052,2346.8038
11530560,1117056030401,202011,4132.7776,8836.0314
11530560,1117056030901,202011,2254.7242,1991.4293
11530560,1117056031101,202011,2434.3403,1711.7618
11530560,1117056031201,202011,8245.9389,7972.1175
11530560,1117056031501,202011,552.7069,1687.3998
11530560,1117056031801,202011,3145.1787,5242.2447
11530720,1.117061e+12,202011,691283.2653,630597.7625
11530720,1117061010001,202011,2074.0925,4005.9848
11530720,1117061010002,202011,2634.7666,3537.4824
11530720,1117061010003,202011,5471.5169,2941.097
11530720,1117061010004,202011,3146.4654,436.518
11530720,1117061010005,202011,1075.9881,2536.8806
11530720,1117061010006,202011,10199.2916,4339.9929
11530720,1117061010007,202011,1660.9696,3239.8917
11530720,1117061010008,202011,5213.0201,4173.3206
11530720,1117061010009,202011,1607.5357,1851.9107
11530720,1117061010010,202011,2688.809,4757.8859
11530720,1117061010011,202011,0,0
11530720,1117061010101,202011,1872.8062,4398.1033
11530720,1117061010201,202011,2515.4729,5487.4409
11530720,1117061010301,202011,1202.8611,2550.5219
11530720,1117061010401,202011,1087.4679,2195.1337
11530720,1117061010601,202011,1215.8831,2771.3691
11530720,1117061010602,202011,3589.3221,2905.1936
11530720,1117061010701,202011,988.407,2154.879
11530720,1117061010702,202011,1946.115,4159.9607
11530720,1117061010703,202011,1273.1888,2931.1737
11530720,1117061010801,202011,1742.5534,2847.8948
11530720,1117061010802,202011,2058.6805,4450.7066
11530720,1117061010901,202011,2739.2585,4166.9673
11530720,1117061020001,202011,13953.4102,6844.6987
11530720,1117061020002,202011,8453.1812,4685.2895
11530720,1117061020003,202011,1264.018,1273.3328
11530720,1117061020004,202011,6151.7956,5302.7936
11530720,1117061020005,202011,7332.1323,4609.3339
11530720,1117061020006,202011,1796.622,2958.6468
11530720,1117061020101,202011,326.4332,1086.4162
11530720,1117061020201,202011,2940.5339,4600.9002
11530720,1117061020202,202011,2178.9965,4907.2213
11530720,1117061020203,202011,1730.0454,4055.4356
11530720,1117061020401,202011,8210.5004,12820.2308
11530720,1117061020501,202011,168.1793,1029.5467
11530720,1117061020502,202011,3957.0374,6894.5918
11530720,1117061020503,202011,378.3318,1615.3217
11530720,1117061020601,202011,1585.0935,2842.5565
11530720,1117061020602,202011,1962.79,2769.1115
11530720,1117061020701,202011,2799.2425,3892.4038
11530720,1117061020702,202011,2607.2979,3747.9475
11530720,1117061020703,202011,3977.0947,6548.1867
11530720,1117061020704,202011,1777.5937,2526.8755
11530720,1117061030001,202011,5158.9899,1258.3936
11530720,1117061030101,202011,1522.9487,2668.5894
11530720,1117061030102,202011,1363.815,2120.3382
11530720,1117061030103,202011,4804.5283,8037.634
11530720,1117061030104,202011,2494.5574,3608.443
11530720,1117061030105,202011,2274.6171,4111.9129
11530730,1.117062e+12,202011,425085.5996,543761.3379
11530730,1117062010001,202011,299.2902,1167.9696
11530730,1117062010002,202011,5572.4529,5096.4365
11530730,1117062010003,202011,3317.2621,2439.4774
11530730,1117062010004,202011,3593.7253,4229.1899
11530730,1117062010005,202011,1516.2363,1568.1476
11530730,1117062010006,202011,290.6018,1351.1484
11530730,1117062010007,202011,3034.2452,2702.5879
11530730,1117062010008,202011,686.1368,1928.1848
11530730,1117062010009,202011,954.4839,1414.0103
11530730,1117062010010,202011,1059.0522,1541.8401
11530730,1117062010011,202011,1881.6063,2056.4226
11530730,1117062010012,202011,4088.8694,4177.2357
11530730,1117062010101,202011,1052.069,2245.2727
11530730,1117062010201,202011,1794.2884,3405.9002
11530730,1117062010301,202011,667.9498,1693.8242
11530730,1117062010302,202011,632.4711,1286.9358
11530730,1117062010303,202011,361.7968,969.4296
11530730,1117062010304,202011,1407.2637,2625.6742
11530730,1117062010305,202011,1480.9961,2333.8739
11530730,1117062010306,202011,752.5,1900.7573
11530730,1117062010501,202011,2637.8856,4985.116
11530730,1117062010801,202011,1670.1575,3347.5873
11530730,1117062010901,202011,2844.1279,5892.4713
11530730,1117062011001,202011,2150.8455,4183.4451
11530730,1117062020001,202011,4258.4495,3702.1292
11530730,1117062020002,202011,705.4702,1704.761
11530730,1117062020003,202011,960.5262,1829.7747
